BGGId,Name,YearPublished,GameWeight,BayesAvgRating,MinPlayers,MaxPlayers,MfgPlaytime,MfgAgeRec,Kickstarted,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
264410,Dinos Not Assembled,2021,1.3333,5.50996,2,4,45,8,1,0,0,0,0,0,0,0,0
264452,High Risk,2019,1,5.57921,2,4,20,8,0,0,0,0,0,0,0,0,0
264476,Rangers of Shadow Deep,2018,2.2143,5.92298,1,4,120,12,0,1,0,1,0,0,0,0,0
264566,Card Capture,2018,1.3333,5.54175,1,1,30,8,0,0,0,0,0,0,0,0,0
264637,Yokohama Duel,2018,2.4167,5.83511,2,2,45,12,0,0,0,0,0,0,0,0,0
264638,5x5 City,2018,1.6667,5.58596,1,4,30,8,0,0,0,0,0,0,0,0,0
264647,Age of Civilization,2019,2.25,6.19742,1,4,60,10,1,0,1,0,0,0,0,0,0
264654,Possession: A Daemonic Card Game,2019,2.3333,5.50908,1,4,120,14,1,0,0,0,0,0,0,0,0
264656,Vivaldi,2019,2.5,5.53619,5,5,20,10,0,0,0,0,0,0,0,0,0
264660,Can't Catch Harry,2019,2,5.47493,2,6,30,6,1,0,0,0,0,0,0,0,0
264669,Antietam 1862,2019,2.625,5.58735,1,2,300,13,1,0,0,1,0,0,0,0,0
264714,The Game of Life: Quarter-Life Crisis,2018,2,5.48807,2,4,45,12,0,0,0,0,0,0,0,0,0
264742,Jabberwocky,2020,2,5.53025,1,7,20,10,0,0,0,0,0,0,0,0,0
264797,Kushi Express,2019,1,5.55226,2,4,20,6,0,0,0,0,0,0,0,0,0
264806,We're Doomed!,2019,1.2727,5.72913,4,10,15,13,0,0,0,0,0,0,0,0,0
264843,El Maestro,2019,1.3333,5.52815,3,8,40,8,0,0,0,0,0,0,0,0,0
264858,Moonshine Empire,2021,2.6,5.55028,1,4,90,10,1,0,0,0,0,0,0,0,0
264925,Nocturion,2019,2.5,5.62168,2,4,70,14,1,0,0,0,0,0,0,0,0
264948,LANDER,0,3.3333,5.54846,1,4,115,14,1,0,0,0,0,0,0,0,0
264970,Scotland Yard: The Dice Game,2019,2,5.54629,2,4,15,8,0,0,0,0,1,0,0,0,0
264982,Coloma,2019,2.9333,6.40051,1,6,90,13,1,0,1,0,0,0,0,0,0
264989,Flushin' Frenzy,2018,1,5.47429,2,4,10,5,0,0,0,0,0,0,0,0,0
264991,Par Odin,2018,2.6667,5.62163,1,1,30,8,0,0,0,0,0,0,0,0,0
265017,Tortuga 2199,2020,2.5385,5.85271,2,4,90,12,1,0,0,0,0,0,0,0,0
265019,MAMEY,2018,1.5,5.52727,2,4,40,10,0,0,0,0,0,0,0,0,0
265026,The Floor is Lava,2018,1,5.48737,2,6,0,5,0,0,0,0,0,0,0,0,0
265031,Ice Team,2019,1.5,5.61574,2,2,20,8,0,0,0,0,0,0,0,0,0
265039,A Song of Ice & Fire: Tabletop Miniatures Game – Night's Watch Starter Set,2018,2,5.56518,2,2,60,14,1,0,0,1,0,0,0,0,0
265105,Red Dragon,2019,1,5.52513,3,6,0,8,0,0,0,0,0,0,0,0,0
265113,ESCAPE Dysturbia: Mörderischer Maskenball,2018,3,5.61983,1,8,90,12,0,0,0,0,0,0,0,0,0
265120,Copernico,2018,1.5,5.51902,1,5,25,10,0,0,0,0,0,0,0,0,0
265188,Glen More II: Chronicles,2019,3.0479,7.33528,2,4,120,12,1,0,1,0,0,0,0,0,0
265202,Bag of Dungeon: A Fantasy Adventure Game,2018,1.75,5.58282,1,4,60,8,1,0,0,0,0,0,0,0,0
265204,Pocket Landship,2019,1.7692,5.81943,1,2,45,10,1,0,0,1,0,0,0,0,0
265219,Chicken Time Warp,2019,1,5.51508,3,6,30,14,1,0,0,0,0,0,0,0,0
265226,Mint Tin Mini Skulduggery,2018,1,5.59762,1,4,25,8,0,0,0,0,0,0,0,0,0
265249,Greenville 1989,2019,1.625,5.6906,3,6,45,16,0,0,0,0,0,0,0,0,0
265256,PUSH,2018,1.0323,6.05756,2,6,25,8,0,0,0,0,1,0,0,1,0
265260,Revolution of 1828,2019,2,5.65912,2,2,60,12,0,0,1,0,0,0,0,0,0
265285,Queenz: To Bee or Not to Bee,2019,2.0667,5.84618,2,4,30,8,0,0,0,0,0,0,0,0,0
265286,War of the Three Kingdoms,2018,0,5.51075,2,10,40,12,0,0,0,0,0,0,0,0,0
265293,Space Worm,2020,1.5,5.52389,2,6,20,10,0,0,0,0,1,0,0,0,0
265297,Monopoly for Millennials,2018,1,5.4774,2,4,0,8,0,0,0,0,0,0,0,0,0
265304,A Billion Suns: Interstellar Fleet Battles,2021,3.5,5.56008,2,6,90,10,0,0,0,0,0,0,0,0,0
265316,Black Mirror: NOSEDIVE,2018,1,5.43619,3,6,0,13,0,0,0,0,0,0,0,0,0
265381,DANY,2019,1.25,5.66109,3,8,30,16,0,0,0,0,0,0,0,0,0
265399,Godsforge,2019,2,5.58042,2,4,40,14,0,0,0,0,0,0,0,0,0
265402,In the Hall of the Mountain King,2019,2.812,6.84853,2,5,90,12,1,0,1,0,0,0,0,0,0
265430,Elekt,2019,2.7273,5.72189,2,4,90,16,1,0,0,0,0,0,0,0,0
265489,Gettysburg,2018,2.1538,5.70094,1,2,90,0,0,0,0,1,0,0,0,0,0
265524,Ramen Fury,2019,1.3158,5.71091,2,5,30,8,0,0,0,0,1,0,0,0,0
265569,What's Missing?,2020,1,5.55352,3,6,20,7,0,0,0,0,0,0,0,0,0
265571,Monopoly: Game of Thrones,2018,1.3333,5.51319,2,6,0,0,0,0,0,0,0,0,0,0,0
265575,Materia Prima: The Alchemists Guild,2020,2.5455,5.57495,2,4,90,12,1,0,0,0,0,0,0,0,0
265583,Dino Dump,2018,1,5.504,2,4,10,6,0,0,0,0,0,0,0,0,0
265585,Linkee 3,2018,1,5.52959,2,30,0,14,0,0,0,0,0,0,0,0,0
265634,DOCE,2018,2,5.53372,2,2,40,9,0,0,0,0,0,0,0,0,0
265635,Space Race,2021,3.1538,5.73063,1,5,90,14,1,0,0,0,0,0,0,0,0
265681,Montmartre,2019,1.6,5.59206,2,5,30,8,0,0,0,0,0,0,0,0,0
265682,Dunaïa,2021,2.5,5.53297,2,4,60,12,0,0,0,0,0,0,0,0,0
265683,Second Chance,2019,1.1875,6.06901,1,6,15,8,0,0,0,0,1,0,0,0,0
265684,Subtext,2019,1.4,5.64178,4,8,40,10,0,0,0,0,0,0,0,1,0
265712,Niepodległa,2018,2.5,5.54012,2,4,90,12,0,0,0,0,0,0,0,0,0
