BGGId,Name,YearPublished,GameWeight,BayesAvgRating,MinPlayers,MaxPlayers,MfgPlaytime,MfgAgeRec,Kickstarted,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
1,Die Macher,1986,4.3206,7.10363,3,5,240,14,0,0,1,0,0,0,0,0,0
2,Dragonmaster,1981,1.963,5.78447,3,4,30,12,0,0,1,0,0,0,0,0,0
3,Samurai,1998,2.4859,7.23994,2,4,60,10,0,0,1,0,0,0,0,0,0
4,Tal der Könige,1992,2.6667,5.67954,2,4,60,12,0,0,0,0,0,0,0,0,0
5,Acquire,1964,2.5031,7.14189,2,6,90,12,0,0,1,0,0,0,0,0,0
6,Mare Mediterraneum,1989,3,5.54614,2,6,240,12,0,0,0,0,0,0,0,0,0
7,Cathedral,1978,1.795,6.13713,2,2,20,8,0,0,0,0,0,0,1,0,0
8,Lords of Creation,1993,2.4,5.56602,2,5,120,12,0,0,0,0,0,0,0,0,0
9,El Caballero,1998,3.1824,5.9229,2,4,90,13,0,0,1,0,0,0,0,0,0
10,Elfenland,1998,2.1578,6.47733,2,6,60,10,0,0,0,0,1,0,0,0,0
11,Bohnanza,1997,1.6751,6.93413,2,7,45,13,0,0,0,0,1,0,0,0,0
12,Ra,1999,2.3498,7.31019,2,5,60,12,0,0,1,0,0,0,0,0,0
13,Catan,1995,2.3139,6.97148,3,4,120,10,0,0,1,0,1,0,0,0,0
14,Basari,1998,1.8571,6.12462,3,4,25,10,0,0,1,0,1,0,0,0,0
15,Cosmic Encounter,1977,2.3747,6.4313,2,6,90,12,0,1,1,0,0,0,0,0,0
16,MarraCash,1996,2.1505,5.99028,3,4,60,12,0,0,1,0,0,0,0,0,0
17,Button Men,1999,1.527,5.7612,2,2,5,10,0,0,0,0,0,1,0,0,0
18,RoboRally,1994,2.4302,6.93168,2,8,120,12,0,1,1,0,0,0,0,0,0
19,Wacky Wacky West,1991,1.8365,5.89185,2,4,45,9,0,0,0,0,1,0,0,0,0
20,Full Metal Planète,1988,3.1639,6.06722,2,4,90,12,0,0,1,0,0,0,0,0,0
21,Gateway to the Stars,1994,3,5.49908,1,7,0,12,0,0,0,0,0,0,0,0,0
22,Magic Realm,1979,4.5277,6.35327,1,16,240,12,0,1,1,0,0,0,0,0,0
23,Divine Right,1979,3.1781,5.83517,2,6,360,12,0,1,0,1,0,0,0,0,0
24,Twilight Imperium,1997,3.4906,5.79383,2,6,240,12,0,1,0,0,0,0,0,0,0
25,Battlemist,1998,3.2,5.55843,2,6,200,12,0,1,0,1,0,0,0,0,0
26,Age of Renaissance,1996,3.8598,6.34875,3,6,300,12,0,0,1,0,0,0,0,0,0
27,Supremacy: The Game of the Superpowers,1984,3.1271,5.50941,2,6,340,12,0,0,0,1,0,0,0,0,0
28,Illuminati,1987,2.6472,6.15386,2,8,180,12,0,1,1,0,0,0,0,0,0
29,Terrain Vague,1993,3.25,5.55015,2,4,120,10,0,0,0,0,0,0,0,0,0
30,Dark Tower,1981,1.81,5.97458,1,4,90,10,0,1,0,0,0,0,0,0,0
31,Dark World,1991,1.9259,5.42431,2,5,90,10,0,1,0,0,0,0,0,0,0
32,Buffalo Chess,1975,1.5417,5.58813,2,2,30,8,0,0,0,0,0,0,1,0,0
34,Arkham Horror,1987,2.3958,5.73702,1,8,180,12,0,1,0,0,0,0,0,0,0
36,Federation & Empire,1986,4.4032,5.65032,2,8,300,12,0,0,0,1,0,0,0,0,0
37,Dragon Masters,1991,2.0909,5.51344,2,4,120,12,0,0,0,1,0,0,0,0,0
38,Runes,1981,1.9,5.5373,2,4,30,10,0,0,0,0,0,0,0,0,0
39,Darkover,1979,2.5,5.48713,2,4,60,12,0,0,0,0,0,0,0,0,0
40,Borderlands,1982,2.7826,5.64689,2,4,120,12,0,1,0,1,0,0,0,0,0
41,Can't Stop,1980,1.1553,6.69638,2,4,30,9,0,0,0,0,1,0,0,0,0
42,Tigris & Euphrates,1997,3.5064,7.52665,2,4,90,12,0,0,1,0,0,0,0,0,0
43,Airlines,1990,2.4242,5.68861,2,6,90,12,0,0,1,0,0,0,0,0,0
44,David & Goliath,1997,1.6257,5.96607,3,6,60,8,0,0,0,0,1,0,0,0,0
45,Perudo,1800,1.2625,6.72095,2,6,30,8,0,0,0,0,1,0,0,1,0
46,Medici,1995,2.2555,6.83642,2,6,60,10,1,0,1,0,0,0,0,0,0
47,Chinatown,1999,2.2685,7.04135,3,5,60,12,0,0,1,0,0,0,0,0,0
48,Krieg und Frieden,1999,2.4638,5.6736,2,4,90,12,0,0,1,0,0,0,0,0,0
49,Mamma Mia!,1998,1.3693,6.23895,2,5,30,10,0,0,0,0,1,0,0,0,0
50,Lost Cities,1999,1.4921,7.08937,2,2,30,10,0,0,0,0,1,0,0,0,0
51,Ricochet Robots,1999,2.4107,6.721,1,99,30,10,0,0,0,0,0,0,1,0,0
52,Mighty Empires,1990,2.6,5.61972,2,3,300,14,0,0,0,1,0,0,0,0,0
53,Brauerei,1996,3,5.50801,3,6,0,14,0,0,0,0,0,0,0,0,0
54,Tikal,1999,2.7906,7.1497,2,4,90,10,0,0,1,0,0,0,0,0,0
55,Sophie's World,1998,1.5556,5.4623,2,6,90,12,0,0,0,0,0,0,0,0,0
57,Schoko & Co.,1987,2.9149,5.71998,2,4,180,13,0,0,1,0,0,0,0,0,0
58,Kings & Things,1986,2.6437,5.96851,2,4,120,12,0,1,0,1,0,0,0,0,0
59,Giganten,1999,2.5693,6.0456,3,4,90,10,0,0,1,0,0,0,0,0,0
60,Vinci,1999,2.7813,6.59208,3,6,120,14,0,0,1,0,0,0,0,0,0
61,Fossil,1998,1.7451,5.47935,2,6,40,10,0,0,0,0,1,0,1,0,0
62,Curse of the Mummy's Tomb,1988,1.88,5.46353,1,4,120,12,0,1,0,0,0,0,0,0,0
63,Samurai: Game of Politics and Warfare in Feudal Japan,1979,2.6296,5.66973,2,8,180,12,0,0,0,1,0,0,0,0,0
64,Joan of Arc,1998,2.5424,5.64511,3,6,180,12,0,0,1,1,0,0,0,0,0
66,Löwenherz,1997,2.9286,6.39967,2,4,90,12,0,0,1,0,0,0,0,0,0
67,Conquest,1974,2.5,5.64851,2,4,120,10,0,0,0,1,0,0,0,0,0
68,Successors (First/Second Edition),1997,3.194,5.83265,2,4,180,12,0,0,0,1,0,0,0,0,0
69,Bollox,1999,2.4,5.53105,2,2,20,10,0,0,0,0,0,0,1,0,0
70,Big City,1999,2.2171,6.29463,2,5,60,10,0,0,1,0,1,0,0,0,0
71,Civilization,1980,3.6564,7.0687,2,7,360,12,0,0,1,0,0,0,0,0,0
72,Verräter,1998,2.5676,6.13668,3,4,60,12,0,0,1,0,0,0,0,0,0
73,Show Manager,1996,2.0943,6.24813,2,6,60,10,0,0,1,0,1,0,0,0,0
74,Apples to Apples,1999,1.1588,5.68574,4,10,30,12,0,0,0,0,0,0,0,1,0
75,Falling,1998,1.2231,5.48446,4,8,5,8,0,0,0,0,0,0,0,1,0
76,Air Baron,1996,2.5484,5.75602,2,6,120,10,0,0,1,0,0,0,0,0,0
77,EastFront,1991,3.5889,6.09109,2,2,240,12,0,0,0,1,0,0,0,0,0
78,"WestFront: The War in Europe, 1943-45",1992,3.4706,5.62392,2,2,240,12,0,0,0,1,0,0,0,0,0
79,MedFront: War in North Africa 1940-43,1994,3.0769,5.55212,2,2,180,12,0,0,0,1,0,0,0,0,0
82,Bobby Lee: The Civil War in Virginia 1861-1865,1993,2.9184,5.70342,2,2,240,12,1,0,0,1,0,0,0,0,0
83,Sam Grant: The Civil War in the West 1862-1864,1997,2.8889,5.55994,2,2,180,12,0,0,0,1,0,0,0,0,0
84,Rommel in the Desert,1982,3.4183,6.24443,2,2,150,12,0,0,0,1,0,0,0,0,0
85,Quebec 1759,1972,2.1512,5.90494,2,2,60,12,0,0,0,1,0,0,0,0,0
87,Victory: World War II,1998,2.5962,5.66892,2,4,120,12,0,0,0,1,0,0,0,0,0
88,Torres,1999,2.8656,6.82406,2,4,60,12,0,0,1,0,0,0,1,0,0
89,Blue vs. Gray,1999,2.8438,5.75504,2,4,120,12,0,0,0,1,0,0,0,0,0
90,Star Wars: Episode 1 – Clash of the Lightsabers,1999,1.4262,5.6869,2,2,20,8,0,0,0,0,1,0,0,0,0
91,Paths of Glory,1999,3.8421,7.33726,2,2,480,14,0,0,0,1,0,0,0,0,0
93,El Grande,1995,3.0515,7.57836,2,5,120,12,0,0,1,0,0,0,0,0,0
94,Union Pacific,1999,2.5508,6.71426,2,6,90,12,0,0,1,0,0,0,0,0,0
95,Igel Ärgern,1990,1.379,5.83979,2,6,30,8,0,0,0,0,1,0,0,0,0
96,Broadsides & Boarding Parties,1982,1.8298,5.64642,2,2,60,10,0,1,0,0,0,0,0,0,0
97,Conquest of the Empire,1984,2.5244,5.75321,2,6,240,10,0,1,0,1,0,0,0,0,0
98,Axis & Allies,1981,3.0394,6.29226,2,5,180,12,0,0,0,1,0,0,0,0,0
99,Fortress America,1986,2.6434,6.15881,2,4,180,12,0,1,0,1,0,0,0,0,0
101,Detroit-Cleveland Grand Prix,1996,1.7054,6.00093,2,6,60,8,0,0,0,0,1,0,0,0,0
102,Klunker,1999,1.7674,5.74867,3,5,30,10,0,0,1,0,1,0,0,0,0
103,Titan,1980,3.4573,6.45443,2,6,240,12,0,1,0,1,0,0,0,0,0
104,Extrablatt,1991,2.9,5.70072,3,4,90,14,0,0,1,0,0,0,0,0,0
105,Colossal Arena,1997,2.0204,6.51219,2,5,60,8,0,0,1,0,1,0,0,0,0
106,Mystery Rummy: Jack the Ripper,1998,1.7483,6.44364,2,4,45,10,0,0,1,0,1,0,0,0,0
108,TAMSK,1998,2.2866,6.0562,2,2,20,8,0,0,0,0,0,0,1,0,0
109,Wettstreit der Baumeister,1994,2,5.60359,3,4,45,10,0,0,1,0,1,0,0,0,0
110,Auf Achse,1987,1.9589,5.85889,2,6,60,8,0,0,0,0,1,0,0,0,0
111,Rheinländer,1999,2.435,6.03364,3,5,45,12,0,0,1,0,0,0,0,0,0
112,Condottiere,1995,1.9587,6.61154,2,6,45,14,0,0,1,0,0,0,0,0,0
113,Mit List und Tücke,1999,1.8889,5.64374,4,6,60,10,0,0,0,0,0,0,0,0,0
114,Ransom,1994,1.625,5.53412,2,6,45,12,0,0,0,0,0,0,0,0,0
115,I'm the Boss!,1994,1.9682,6.35728,3,6,60,12,0,0,1,0,1,0,0,0,0
116,Guillotine,1998,1.2675,6.40497,2,5,30,12,0,0,0,0,1,0,0,0,0
117,Ta Yü,1999,2.0671,6.17296,2,4,45,10,0,0,0,0,0,0,1,0,0
118,Modern Art,1992,2.2995,7.24916,3,5,45,10,0,0,1,0,0,0,0,0,0
119,Kingdoms,1994,1.8297,6.33227,2,4,45,9,0,0,1,0,0,0,1,0,0
120,Hoity Toity,1990,1.8669,6.24725,2,6,45,12,0,0,0,0,1,0,0,0,0
121,Dune,1979,3.4504,7.06902,2,6,180,12,0,1,1,0,0,0,0,0,0
122,Quo Vadis?,1991,2.0816,6.04032,3,5,45,12,0,0,1,0,0,0,0,0,0
124,Primordial Soup,1997,2.7309,6.54287,3,4,90,12,0,0,1,0,0,0,0,0,0
125,Money!,1999,1.5493,6.13066,3,5,30,10,0,0,0,0,1,0,0,0,0
126,The Really Nasty Horse Racing Game,1989,1.6753,5.70766,2,6,90,12,0,0,0,0,0,0,0,1,0
127,Princess Ryan's Star Marines,1997,2.4583,5.48284,1,6,120,10,0,0,0,1,0,0,0,0,0
128,Take it Easy!,1983,1.4817,6.18873,1,8,20,10,0,0,0,0,1,0,1,0,0
130,Iron Dragon,1994,2.9456,6.17668,2,6,240,12,0,0,1,0,0,0,0,0,0
132,Caesar & Cleopatra,1997,1.9144,6.12935,2,2,60,10,0,0,1,0,0,0,0,0,0
133,Frischfleisch,1999,2.5455,5.55316,2,6,120,18,0,0,1,0,0,0,0,0,0
134,Cape Horn,1999,2.0227,5.61602,3,5,45,12,0,0,0,0,1,0,0,0,0
135,Kontor,1999,2.2051,5.63538,2,4,60,12,0,0,1,0,0,0,0,0,0
136,Robin Hood,1999,1.75,5.49728,3,6,30,8,0,0,0,0,0,0,0,0,0
137,Pass the Bomb,1994,1.3095,5.63389,2,10,20,12,0,0,0,0,0,0,0,1,0
139,Hoax,1981,1.375,5.55153,3,12,45,10,0,0,1,0,0,0,0,1,0
140,Pit,1903,1.1582,6.20663,3,8,90,7,0,0,0,0,1,0,0,1,0
141,Andromeda,1999,2.2266,5.87327,3,5,60,10,0,0,1,0,1,0,0,0,0
142,Vino,1999,2.9844,5.77193,3,5,90,12,0,0,1,0,0,0,0,0,0
144,Elfenwizards,1995,2.3,5.53633,3,6,90,10,0,0,0,0,0,0,0,0,0
145,Metropolis,1984,2.2353,5.65659,2,5,90,16,0,0,1,0,1,0,0,0,0
146,Buy Low Sell High,1996,1.9907,5.71447,2,4,60,12,0,0,1,0,1,0,0,0,0
147,Crude: The Oil Game,1974,2.7374,5.97941,2,4,90,13,0,0,1,0,0,0,0,0,0
148,Die Glücksritter,1999,1.8,5.5154,3,6,60,8,0,0,0,0,0,0,0,0,0
150,PitchCar,1995,1.1263,6.99936,2,8,30,6,0,0,0,0,1,0,0,1,0
151,Piratenbillard,1959,1.25,5.70422,2,4,15,8,0,0,0,0,0,0,0,0,0
152,Mü & More,1995,2.4971,6.36292,2,8,60,11,0,0,1,0,0,0,0,0,0
153,Take 5!,1998,1.472,6.0292,2,6,60,10,0,0,0,0,1,0,0,0,0
154,Union vs. Central,1999,3.75,5.5721,2,2,360,12,0,0,1,0,0,0,0,0,0
155,Was sticht?,1993,2.3966,5.90619,3,4,60,12,0,0,1,0,1,0,0,0,0
156,Wildlife Adventure,1985,1.8814,5.82514,2,6,60,10,0,0,0,0,1,0,0,0,0
157,Eurorails,1990,2.7397,6.26944,2,6,240,10,0,0,1,0,0,0,0,0,0
162,The Awful Green Things From Outer Space,1979,1.8759,6.07713,2,2,90,12,0,1,0,1,0,0,0,0,0
163,Balderdash,1984,1.4139,6.19047,2,6,60,12,0,0,0,0,0,0,0,1,0
164,"Before I Kill You, Mister Spy...",1996,1.2672,5.45658,2,6,30,12,0,1,0,0,1,0,0,0,0
165,Black Box,1977,2.0658,5.79025,1,2,20,10,0,0,0,0,0,0,1,0,0
166,Black Death,1993,1.8421,5.51064,2,6,120,0,0,0,0,0,0,0,0,0,0
167,Dicke Kartoffeln,1989,3.4286,5.55812,2,6,120,12,0,0,1,0,0,0,0,0,0
168,Empire Builder,1982,2.6212,6.3619,2,6,180,12,0,0,1,0,0,0,0,0,0
169,En Garde,1993,1.4032,5.97821,2,2,30,8,0,0,0,0,1,0,0,0,0
170,Family Business,1982,1.3237,5.87074,2,6,30,8,0,1,0,0,1,0,0,0,0
171,Chess,1475,3.6886,6.96557,2,2,60,6,0,0,0,0,0,0,1,0,0
172,For Sale,1997,1.2605,7.1069,3,6,30,10,0,0,0,0,1,0,0,0,0
173,Formula Dé,1997,1.9589,6.68311,2,10,120,10,0,0,0,0,0,0,0,0,0
174,T-Rex,1999,1.9048,5.49749,3,5,45,10,0,0,0,0,0,0,0,0,0
175,What the Heck?,1988,1.1707,6.02732,2,5,20,7,0,0,0,0,1,0,0,0,0
176,Give Me the Brain!,1996,1.2743,5.65382,3,8,15,10,0,1,0,0,1,0,0,0,0
178,Mole Hill,1997,1.7188,5.5531,2,2,15,8,0,0,0,0,0,0,1,0,0
179,Nuba,1995,2,5.52454,2,2,10,12,0,0,0,0,0,0,1,0,0
180,Pool Position,1999,1.7273,5.51689,2,5,30,10,0,0,0,0,0,0,1,0,0
181,Risk,1959,2.0792,5.46271,2,6,120,10,0,0,0,1,1,0,0,0,0
182,Knights of Charlemagne,1995,1.4286,5.75124,2,4,30,8,0,0,0,0,1,0,0,0,0
183,Stonehenge,1994,1.8571,5.55625,2,2,15,10,0,0,0,0,0,0,1,0,0
185,Devil Bunny Needs a Ham,1998,1.1667,5.45101,2,5,30,8,1,0,0,0,1,0,0,0,0
186,Split,1999,1.1333,5.54063,2,6,30,12,0,0,0,0,0,0,0,0,0
188,Go,-2200,3.942,7.31794,2,2,180,8,0,0,0,0,0,0,1,0,0
189,Die Siedler von Nürnberg,1999,2.7792,5.99335,3,4,90,10,0,0,1,0,1,0,0,0,0
190,Dolce Vita,1999,1.6875,5.56314,3,5,30,10,0,0,0,0,1,0,0,0,0
192,Nicht die Bohne!,1999,1.3619,5.81835,3,6,45,10,0,0,0,0,1,0,0,0,0
193,Fill or Bust,1981,1.1667,5.5366,2,10,30,8,0,0,0,0,1,0,0,0,0
194,Groo: The Game,1997,1.5,5.7428,2,4,45,10,0,1,0,0,0,0,0,0,0
195,NASCAR Champions,1998,1.1111,5.49252,2,5,30,8,0,0,0,0,0,0,0,0,0
196,Kremlin,1986,2.8409,6.39331,3,6,75,12,1,1,1,0,0,0,0,0,0
197,HellRail: Second Perdition,1999,2,5.52972,3,4,75,13,0,0,0,0,0,0,0,0,0
198,Buried Treasure,1992,1.5714,5.56428,2,4,30,10,0,0,0,0,1,0,0,0,0
199,Manhattan,1994,1.9211,6.41591,2,4,45,10,0,0,0,0,1,0,0,0,0
200,Entdecker,1996,2.2362,5.91707,2,4,60,10,0,0,1,0,1,0,0,0,0
201,The Rose King,1992,1.9561,6.35796,2,4,30,10,0,0,0,0,0,0,1,0,0
202,Targui,1988,2.3793,5.74739,2,4,120,12,0,0,1,1,0,0,0,0,0
204,Stephenson's Rocket,1999,3.0595,6.36947,2,4,60,12,0,0,1,0,0,0,0,0,0
206,Pepper,1998,1.7778,5.54313,3,9,45,10,0,0,0,0,0,0,0,0,0
207,Twitch,1998,1.1667,5.55497,3,6,15,10,0,0,0,0,0,0,0,0,0
208,Ex & Hopp,1996,1.2,5.49743,2,6,30,10,0,0,0,0,0,0,0,0,0
210,Don Pepe,1999,1.3103,5.64461,3,6,30,8,0,0,0,0,0,0,0,0,0
211,Times to Remember,1992,1.1333,5.59118,2,10,45,10,0,0,0,0,0,0,0,0,0
214,Café International,1989,1.6651,5.93036,2,4,60,10,0,0,0,0,1,0,0,0,0
215,Tichu,1991,2.3413,7.31833,4,4,60,10,0,0,1,0,0,0,0,0,0
216,Atlanteon,1992,2.0267,5.58139,2,2,30,12,0,0,0,0,0,0,1,0,0
217,A la carte,1989,1.3017,6.1127,2,4,30,8,0,0,0,0,1,0,0,0,0
218,High-Bid,1965,1.8125,5.54128,2,4,25,12,0,0,1,0,1,0,0,0,0
219,Volle Hütte,1997,2.0909,5.56219,3,5,30,12,0,0,0,0,0,0,0,0,0
220,High Society,1995,1.5,6.85635,3,5,30,10,0,0,0,0,1,0,0,0,0
221,Ikusa,1986,2.9509,6.569,2,5,360,12,0,1,0,1,0,0,0,0,0
222,Space Beans,1999,1.3866,5.76842,2,6,40,10,0,0,0,0,1,0,0,0,0
223,Expedition,1996,1.976,6.02304,2,6,90,10,0,0,0,0,1,0,0,0,0
224,History of the World,1991,2.7703,6.62721,3,6,270,12,0,1,1,0,0,0,0,0,0
225,Icehouse,1989,2.5957,5.77426,3,5,20,8,0,0,0,0,0,0,1,0,0
226,Isi,1999,0,5.52592,2,2,30,12,0,0,0,0,0,0,1,0,0
228,Lunch Money,1996,1.515,5.522,2,4,20,13,0,1,0,0,0,0,0,0,0
229,King of the Elves,1999,2.0165,5.80423,2,6,60,10,0,0,0,0,1,0,0,0,0
230,Merchant of Venus,1988,2.8345,6.49035,1,6,180,12,0,0,1,0,0,0,0,0,0
231,Geronimo,1995,3.1935,5.50983,1,5,480,12,0,0,0,1,0,0,0,0,0
232,Serenissima,1996,3.0392,6.24246,2,4,120,12,0,0,1,0,0,0,0,0,0
234,Hannibal: Rome vs. Carthage,1996,3.4458,7.17209,2,2,200,12,0,0,0,1,0,0,0,0,0
235,Blackbeard,1991,3.195,5.86413,1,4,240,12,0,1,0,1,0,0,0,0,0
237,Wooden Ships & Iron Men,1974,3.1193,6.29267,2,2,60,12,0,0,0,1,0,0,0,0,0
239,"Wagram: The Peace of Vienna, 5-6 July 1809",1975,2.1538,5.56236,2,2,90,12,0,0,0,1,0,0,0,0,0
240,Britannia,1986,3.1676,6.67076,3,5,300,12,0,0,0,1,0,0,0,0,0
241,Age of Exploration,1994,3.0625,5.5517,1,6,180,14,0,1,1,0,0,0,0,0,0
242,Junta,1978,2.8699,6.35873,2,7,240,16,0,1,1,0,0,0,0,0,0
243,Advanced Squad Leader,1985,4.7321,7.06699,2,2,480,14,0,0,0,1,0,0,0,0,0
244,Circus Maximus,1979,2.6485,6.08008,2,10,120,12,0,1,1,0,0,0,0,0,0
246,Politika,1996,1.6667,5.48773,3,7,0,12,0,0,0,0,0,0,0,0,0
247,Gloria Picktoria,1996,1.4815,5.82806,2,5,45,10,0,0,0,0,1,0,0,0,0
248,Blood Royale,1987,3.3231,5.77328,3,5,240,12,0,1,0,0,0,0,0,0,0
249,Lifeboats,1993,1.7862,6.21921,3,6,90,12,0,0,1,0,1,0,0,0,0
250,Colonial Diplomacy,1994,2.8182,5.68954,2,7,360,12,0,0,1,1,0,0,0,0,0
252,The Battle of Borodino: Napoleon in Russia 1812,1972,2.1071,5.58591,2,2,180,12,0,0,0,1,0,0,0,0,0
254,Empires in Arms,1983,4.4067,6.31577,2,7,12000,14,0,0,0,1,0,0,0,0,0
255,Jena-Auerstadt: The Battle for Prussia,1975,2.1,5.5108,2,2,150,12,0,0,0,1,0,0,0,0,0
256,Mississippi Queen,1997,1.6949,6.07478,3,5,45,10,0,0,0,0,1,0,0,0,0
257,Kill Doctor Lucky,1996,1.646,5.97081,3,8,45,12,0,0,0,0,1,0,0,0,0
258,Fluxx,1997,1.3897,5.56553,2,6,30,8,0,0,0,0,1,0,0,1,0
259,Atlantic Storm,1997,2.0526,5.73767,2,6,60,10,0,0,1,1,0,0,0,0,0
260,Starship Troopers: Prepare For Battle!,1997,2.0435,5.52277,2,4,60,10,0,0,0,1,0,0,0,0,0
261,Olympia 2000 (v. Chr.),1994,1.3846,5.57707,2,5,30,9,0,0,0,0,1,0,0,0,0
263,Manitou,1997,1.9655,5.60913,2,4,45,12,0,0,1,0,1,0,0,0,0
264,Enemy in Sight,1988,1.6933,5.70868,2,8,120,10,0,0,0,1,0,0,0,0,0
265,Intrigue,1994,1.9351,6.02125,3,5,45,14,0,0,1,0,0,0,0,0,0
267,Tycoon,1998,2.6456,5.86343,2,4,90,10,0,0,1,0,0,0,0,0,0
268,Cheops,1998,2.16,5.58993,2,5,45,9,0,0,0,0,0,0,0,0,0
270,Svea Rike,1996,2.4651,5.70425,2,5,120,12,0,1,1,0,0,0,0,0,0
271,It's Mine!,1998,1.0727,5.5848,3,5,30,7,0,0,0,0,1,0,0,0,0
272,Downtown,1996,2.25,5.56546,3,6,60,12,0,0,0,0,0,0,0,0,0
273,Africa 1880,1997,2.6,5.51373,3,6,120,14,0,0,0,0,0,0,0,0,0
274,Guerilla,1994,2.6316,5.6352,3,6,60,10,0,0,0,1,0,0,0,0,0
275,Extinction,1993,1.5,5.48513,2,6,60,12,0,0,0,0,0,0,0,0,0
276,La Guerre de l'Empereur,1997,3.3846,5.53076,2,7,240,12,0,0,0,1,0,0,0,0,0
277,Res Publica,1991,1.7024,5.63951,3,5,60,10,0,0,1,0,0,0,0,0,0
278,Catan Card Game,1996,2.4478,6.53055,2,2,120,10,0,0,1,0,0,0,0,0,0
279,The Very Clever Pipe Game,1996,1.5875,5.72028,2,4,20,10,0,0,0,0,0,0,1,0,0
280,Neue Spiele im alten Rom,1994,2.2857,5.64083,2,7,60,10,0,0,1,0,1,0,0,0,0
281,Ostindiska Kompaniet,1991,2.5455,5.43526,2,5,120,10,0,0,0,0,0,0,0,0,0
282,Vikingatid,1997,3.3,5.52097,2,6,300,12,0,0,0,1,0,0,0,0,0
283,Advanced Third Reich,1992,4.5328,5.86345,2,6,2480,12,0,0,0,1,0,0,0,0,0
284,Lords of the Sierra Madre (Second Edition),1995,3.4545,5.55768,2,8,240,14,0,1,1,1,0,0,0,0,0
285,Monsters Ravage America,1998,2.1905,5.54832,1,4,90,10,0,1,0,0,0,0,0,0,0
286,Machiavelli,1977,3.2075,6.06435,4,8,480,12,0,0,1,1,0,0,0,0,0
287,Bazaar,1967,2.0352,6.00552,2,6,45,8,0,0,0,0,1,0,1,0,0
288,Rossyïa 1917,1995,4,5.56891,2,5,300,0,0,0,0,1,0,0,0,0,0
289,Chariot Lords,1999,2.7857,5.63206,3,4,360,12,0,0,0,1,0,0,0,0,0
290,Gold Digger,1990,1.1882,5.56207,2,5,20,7,0,0,0,0,1,0,0,0,0
291,Courtisans of Versailles,1988,1.8182,5.52046,3,8,120,8,0,0,0,0,0,0,0,0,0
292,Attacke,1993,1.4615,5.51635,3,5,30,8,0,0,0,0,1,0,0,0,0
293,Bamboleo,1996,1.2,5.87313,2,7,30,6,0,0,0,0,1,0,0,1,0
294,Keydom,1998,2.6667,5.55615,2,5,90,10,0,0,0,0,0,0,0,0,0
295,Europa 1945-2030,1998,2.6279,5.57436,3,6,120,12,0,0,1,0,0,0,0,0,0
296,Medieval Merchant,1998,3.0945,5.99817,2,6,90,12,0,0,1,0,0,0,0,0,0
297,Stadens Nyckel,1998,2.3333,5.4873,3,6,120,9,0,0,0,0,0,0,0,0,0
298,Lang lebe der König!,1997,2,5.48764,3,5,60,10,0,0,0,1,0,0,0,0,0
299,De Bellis Antiquitatis: Quick Play Wargame Rules with Army Lists for Ancient and Medieval Battles,1990,2.8333,5.97853,2,6,60,14,0,0,0,1,0,0,0,0,0
300,Tutankhamen,1993,1.5839,5.7554,2,6,30,8,0,0,0,0,1,0,0,0,0
301,Campanile,1996,1.6765,5.61214,2,5,30,10,0,0,0,0,1,0,0,0,0
302,Forum Romanum,1988,2.3824,5.76644,2,6,45,10,0,0,0,0,0,0,1,0,0
303,Koalition,1992,2.2941,5.60445,4,10,90,12,0,0,1,0,0,0,0,0,0
304,Evergreen,1999,1.9,5.50771,2,6,30,12,0,0,0,0,0,0,0,0,0
305,Der Fliegende Holländer,1992,2.4762,5.58002,3,6,60,12,0,0,1,0,1,0,0,0,0
307,Candidate,1991,2,5.50377,2,6,90,10,0,1,1,0,0,0,0,0,0
308,Santa Fe,1992,2.2143,5.66961,2,5,70,10,0,0,1,0,0,0,0,0,0
309,Arabana-Ikibiti,1997,1.875,5.53164,2,2,20,8,0,0,0,0,0,0,1,0,0
310,Wizard's Quest,1979,2.2622,5.78148,2,6,180,12,0,1,0,1,0,0,0,0,0
311,Time Agent,1992,3.4583,5.65823,2,6,360,12,0,0,1,0,0,0,0,0,0
312,Landlord!,1992,1.51,5.64116,2,6,10,10,0,1,1,0,0,0,0,0,0
313,Big Boss,1994,2.4074,5.78807,2,6,90,10,0,0,1,0,0,0,0,0,0
314,Highlanders,1993,2.0556,5.57569,3,5,90,12,0,0,0,1,0,0,0,0,0
315,Bagh Chal,1000,2.4211,5.54778,2,2,20,8,0,0,0,0,0,0,1,0,0
316,Chase,1985,2.6579,5.68364,2,2,45,10,0,0,0,0,0,0,1,0,0
317,The Mob,1993,1.875,5.59687,3,6,60,12,0,0,0,0,0,0,0,0,0
319,Top It,1997,1.8,5.50601,2,4,20,10,0,0,0,0,0,0,1,0,0
320,Scrabble,1948,2.0878,6.16004,2,4,90,10,0,0,0,0,1,0,0,0,0
321,The Mole in the Hole,1995,1.2874,5.7788,2,4,30,8,0,0,0,0,1,0,0,0,1
322,Tonga Bonga,1998,1.6818,5.70388,3,4,45,10,0,0,0,0,1,0,0,0,0
323,Anno 1452,1999,2.9375,5.55182,2,4,90,12,0,0,1,0,0,0,0,0,0
324,Ponte Vecchio,1996,2.4286,5.50665,3,5,90,12,0,0,0,0,0,0,0,0,0
